;bitdepth;bitrate;duration;filesize;samplerate;album;albumartist;artist;genre;title;track;year
43;;320.0;239.2844073820916;9584659;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";She Way Out;13;2013
44;;320.0;206.7912305438922;8284802;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Menswear;14;2013
45;;320.0;221.44449956058983;8870990;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Pressure;15;2013
46;;320.0;174.27198125183088;6983922;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Is There Somebody Who Can Watch You;16;2013
47;;320.0;206.92184278879014;8290027;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";The City;2;2013
48;;320.0;216.6123214529831;8677686;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";M.O.N.E.Y.;3;2013
49;;320.0;224.70948071477395;9001603;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Chocolate;4;2013
50;;320.0;207.0524300361293;8295246;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Sex;5;2013
51;;320.0;167.7942388438629;6724767;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Talk!;6;2013
52;;320.0;74.80739459037203;3004937;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";An Encounter;7;2013
53;;320.0;202.35086417342058;8107171;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Heart Out;8;2013
54;;320.0;239.93739361390487;9610781;44100;The 1975;The 1975;The 1975;"Rock; Indie; Indie Rock; Indie Pop; 2010s";Settle Down;9;2013
